Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
02-07-2018,ADANIGREEN,EQ,26.8,27.2,27.25,22.8,25.4,25.2,24.94,1369795,3.41572E+12,5274,1032401,0.7537
03-07-2018,ADANIGREEN,EQ,25.2,26.95,26.95,24.5,26.6,26.35,25.82,519628,1.34166E+12,3205,419282,0.8069
04-07-2018,ADANIGREEN,EQ,26.35,26,29.95,25.8,29.8,29.6,28.1,1033451,2.90379E+12,6363,592525,0.5733
05-07-2018,ADANIGREEN,EQ,29.6,29.8,31.95,28.6,29.75,29.8,30.54,1546192,4.72208E+12,6516,942016,0.6092
06-07-2018,ADANIGREEN,EQ,29.8,29,30.9,28.85,30.45,30.35,30.32,523472,1.58721E+12,3042,308139,0.5886
09-07-2018,ADANIGREEN,EQ,30.35,30.45,31.4,29.55,30.65,30.95,30.9,616718,1.90579E+12,5106,432788,0.7018
10-07-2018,ADANIGREEN,EQ,30.95,30.55,31.85,30.25,31,31.1,31.14,492511,1.53387E+12,5831,305333,0.62
11-07-2018,ADANIGREEN,EQ,31.1,31.05,33.4,30.6,31.85,31.95,32.32,1610144,5.20336E+12,12255,722659,0.4488
12-07-2018,ADANIGREEN,EQ,31.95,31.8,32.9,30.95,31.15,31.1,31.99,524503,1.67804E+12,4423,277788,0.5296
13-07-2018,ADANIGREEN,EQ,31.1,32.5,32.7,31.2,31.3,31.45,31.65,770830,2.43991E+12,8032,305997,0.397
16-07-2018,ADANIGREEN,EQ,31.45,32.4,32.4,30.85,31.25,31.1,31.59,696778,2.2009E+12,7373,418889,0.6012
17-07-2018,ADANIGREEN,EQ,31.1,31.65,31.85,30.95,31.5,31.45,31.48,557931,1.75655E+12,2789,345486,0.6192
18-07-2018,ADANIGREEN,EQ,31.45,31.5,31.75,29.55,29.7,29.75,30.47,497514,1.516E+12,3713,335363,0.6741
19-07-2018,ADANIGREEN,EQ,29.75,29.8,30.4,28.1,30.15,29.7,29.28,469529,1.37458E+12,2870,254971,0.543
20-07-2018,ADANIGREEN,EQ,29.7,29.95,35.6,29.5,35.6,35.4,34.79,5891772,2.04986E+13,19693,1215336,0.2063
23-07-2018,ADANIGREEN,EQ,35.4,37.9,42.45,37.1,42.45,42.45,40.94,2766587,1.13253E+13,10782,1028789,0.3719
24-07-2018,ADANIGREEN,EQ,42.45,45.85,46.65,45,46.65,46.65,46.54,1510186,7.02769E+12,2760,547133,0.3623
25-07-2018,ADANIGREEN,EQ,46.65,50.7,51.3,47.1,51.3,51.3,50.47,868232,4.38198E+12,2414,623308,0.7179
26-07-2018,ADANIGREEN,EQ,51.3,55.8,56.4,48,53.2,52.9,53.61,6847468,3.67061E+13,33525,2162773,0.3159
27-07-2018,ADANIGREEN,EQ,52.9,54.5,54.8,51.15,52.25,52.35,53.26,1425686,7.59255E+12,9610,517449,0.3629
30-07-2018,ADANIGREEN,EQ,52.35,52.8,57.55,52.8,57.55,57.55,56.3,2011508,1.13248E+13,9661,915495,0.4551
31-07-2018,ADANIGREEN,EQ,57.55,60.4,60.4,58.6,60.4,60.4,60.24,3461295,2.08516E+13,10214,1608199,0.4646
01-08-2018,ADANIGREEN,EQ,60.4,62.7,63.4,62.3,63.4,63.4,63.27,1023345,6.47506E+12,2852,472925,0.4621
02-08-2018,ADANIGREEN,EQ,63.4,66.55,66.55,66.55,66.55,66.55,66.55,162902,1.08411E+12,544,155334,0.9535
03-08-2018,ADANIGREEN,EQ,66.55,69.85,69.85,69.85,69.85,69.85,69.85,116347,8.12684E+11,413,116347,1
06-08-2018,ADANIGREEN,EQ,69.85,73.3,73.3,73.3,73.3,73.3,73.3,66210,4.85319E+11,371,66210,1
07-08-2018,ADANIGREEN,EQ,73.3,71.3,73,69.65,69.65,69.65,70.37,1031500,7.25914E+12,3847,696499,0.6752
08-08-2018,ADANIGREEN,EQ,69.65,66.2,66.2,66.2,66.2,66.2,66.2,71603,4.74012E+11,621,71603,1
09-08-2018,ADANIGREEN,EQ,66.2,62.9,62.9,62.9,62.9,62.9,62.9,130477,8.207E+11,594,130266,0.9984
10-08-2018,ADANIGREEN,EQ,62.9,61.55,66,60.1,66,66,63.98,3789655,2.42451E+13,12535,1482827,0.3913
13-08-2018,ADANIGREEN,EQ,66,62.7,62.7,62.7,62.7,62.7,62.7,262033,1.64295E+12,1037,260904,0.9957
14-08-2018,ADANIGREEN,EQ,62.7,59.6,59.6,59.6,59.6,59.6,59.6,117253,6.98828E+11,660,116191,0.9909
16-08-2018,ADANIGREEN,EQ,59.6,56.65,56.65,56.65,56.65,56.65,56.65,82087,4.65023E+11,473,82080,0.9999
17-08-2018,ADANIGREEN,EQ,56.65,53.85,59.45,53.85,54.9,54.7,56.94,4325129,2.46294E+13,17138,1119257,0.2588
20-08-2018,ADANIGREEN,EQ,54.7,54.7,57.4,54.7,57.4,57.4,57.11,585571,3.34433E+12,1904,320968,0.5481
21-08-2018,ADANIGREEN,EQ,57.4,59,60.25,56,57.05,57.1,58.86,2223954,1.30902E+13,10683,866272,0.3895
23-08-2018,ADANIGREEN,EQ,57.1,58.7,59.95,56.55,57.3,57.2,57.88,946929,5.48066E+12,4997,440185,0.4649
24-08-2018,ADANIGREEN,EQ,57.2,58.5,58.5,54.9,55,55.55,56.37,544872,3.07157E+12,3430,288727,0.5299
